name,1996,2001,2006,2011,2016
Arbutus-Ridge,14050,14515,16145,15910,15295
Downtown,17405,27988,43415,54690,62030
Dunbar-Southlands,21420,21308,21480,21745,21425
Fairview,26625,28403,29295,31440,33620
Grandview-Woodland,29215,29085,28205,27305,29175
Hastings-Sunrise,31085,33055,33130,33990,34575
Kensington-Cedar Cottage,42400,44556,44665,47470,49325
Kerrisdale,13605,14033,14615,14735,13975
Killarney,24415,25785,27180,28455,29325
Kitsilano,36580,39621,40595,41375,43045
Marpole,21730,22416,23785,23835,24460
Mount Pleasant,23695,24539,23615,26400,32955
Oakridge,11370,11793,12725,12440,13030
Renfrew-Collingwood,41780,44946,48885,50500,51530
Riley Park,21710,21998,21815,21795,22555
Shaughnessy,9090,9017,8900,8810,8430
South Cambie,6740,6991,7070,7680,7970
Strathcona,11645,11573,11920,12165,12585
Sunset,31320,33423,35230,36290,36500
Victoria-Fraserview,25705,27152,29200,30710,31065
West End,40940,42103,44560,44540,47200
West Point Grey,12885,12676,12990,12795,13065
